linkage,metric,criterion,param,silhouette_score
ward,euclidean,maxclust,2,0.102
ward,euclidean,maxclust,3,0.0894
ward,euclidean,maxclust,4,0.1057
ward,euclidean,maxclust,5,0.1205
ward,euclidean,maxclust,6,0.1285
ward,euclidean,maxclust,7,0.1384
ward,euclidean,maxclust,8,0.124
ward,euclidean,maxclust,9,0.1342
ward,euclidean,maxclust,10,0.1399
ward,euclidean,maxclust,11,0.1444
ward,euclidean,maxclust,12,0.1535
ward,euclidean,maxclust,13,0.1437
ward,euclidean,maxclust,14,0.149
ward,euclidean,maxclust,15,0.1332
ward,euclidean,maxclust,16,0.1393
ward,euclidean,maxclust,17,0.1405
ward,euclidean,maxclust,18,0.1415
ward,euclidean,maxclust,19,0.141
ward,euclidean,maxclust,20,0.1412
ward,euclidean,maxclust,21,0.1288
ward,euclidean,maxclust,22,0.1289
ward,euclidean,maxclust,23,0.1325
ward,euclidean,maxclust,24,0.1333
ward,euclidean,maxclust,25,0.1334
ward,euclidean,distance,5.0,0.2705
ward,euclidean,distance,10.0,0.211
ward,euclidean,distance,15.0,0.1633
ward,euclidean,distance,20.0,0.1255
average,euclidean,maxclust,2,0.0904
average,euclidean,maxclust,3,0.0857
average,euclidean,maxclust,4,0.0921
average,euclidean,maxclust,5,0.1052
average,euclidean,maxclust,6,0.1116
average,euclidean,maxclust,7,0.122
average,euclidean,maxclust,8,0.1438
average,euclidean,maxclust,9,0.1468
average,euclidean,maxclust,10,0.1624
average,euclidean,maxclust,11,0.1669
average,euclidean,maxclust,12,0.1729
average,euclidean,maxclust,13,0.175
average,euclidean,maxclust,14,0.1712
average,euclidean,maxclust,15,0.1677
average,euclidean,maxclust,16,0.1655
average,euclidean,maxclust,17,0.1652
average,euclidean,maxclust,18,0.1663
average,euclidean,maxclust,19,0.1658
average,euclidean,maxclust,20,0.1659
average,euclidean,maxclust,21,0.1625
average,euclidean,maxclust,22,0.1643
average,euclidean,maxclust,23,0.1625
average,euclidean,maxclust,24,0.1603
average,euclidean,maxclust,25,0.1596
average,euclidean,distance,5.0,0.2428
average,euclidean,distance,10.0,0.1276
average,euclidean,distance,15.0,0.1613
average,cityblock,maxclust,2,0.0978
average,cityblock,maxclust,3,0.0831
average,cityblock,maxclust,4,0.0895
average,cityblock,maxclust,5,0.095
average,cityblock,maxclust,6,0.103
average,cityblock,maxclust,7,0.1213
average,cityblock,maxclust,8,0.1394
average,cityblock,maxclust,9,0.1402
average,cityblock,maxclust,10,0.1464
average,cityblock,maxclust,11,0.1444
average,cityblock,maxclust,12,0.1519
average,cityblock,maxclust,13,0.1416
average,cityblock,maxclust,14,0.1374
average,cityblock,maxclust,15,0.143
average,cityblock,maxclust,16,0.1491
average,cityblock,maxclust,17,0.1434
average,cityblock,maxclust,18,0.1494
average,cityblock,maxclust,19,0.1481
average,cityblock,maxclust,20,0.1467
average,cityblock,maxclust,21,0.1456
average,cityblock,maxclust,22,0.1421
average,cityblock,maxclust,23,0.155
average,cityblock,maxclust,24,0.1535
average,cityblock,maxclust,25,0.152
average,cityblock,distance,5.0,0.0096
average,cityblock,distance,10.0,0.0754
average,cityblock,distance,15.0,0.108
average,cityblock,distance,20.0,0.1136
average,cosine,maxclust,2,0.0905
average,cosine,maxclust,3,0.0868
average,cosine,maxclust,4,0.0883
average,cosine,maxclust,5,0.1075
average,cosine,maxclust,6,0.1221
average,cosine,maxclust,7,0.1226
average,cosine,maxclust,8,0.1381
average,cosine,maxclust,9,0.1559
average,cosine,maxclust,10,0.1625
average,cosine,maxclust,11,0.1617
average,cosine,maxclust,12,0.1665
average,cosine,maxclust,13,0.1635
average,cosine,maxclust,14,0.1609
average,cosine,maxclust,15,0.1609
average,cosine,maxclust,16,0.1665
average,cosine,maxclust,17,0.1695
average,cosine,maxclust,18,0.165
average,cosine,maxclust,19,0.1676
average,cosine,maxclust,20,0.1673
average,cosine,maxclust,21,0.1637
average,cosine,maxclust,22,0.1634
average,cosine,maxclust,23,0.1627
average,cosine,maxclust,24,0.1602
average,cosine,maxclust,25,0.1594
average,correlation,maxclust,2,0.0905
average,correlation,maxclust,3,0.0868
average,correlation,maxclust,4,0.0883
average,correlation,maxclust,5,0.1075
average,correlation,maxclust,6,0.1221
average,correlation,maxclust,7,0.1226
average,correlation,maxclust,8,0.1381
average,correlation,maxclust,9,0.1559
average,correlation,maxclust,10,0.1625
average,correlation,maxclust,11,0.1617
average,correlation,maxclust,12,0.1665
average,correlation,maxclust,13,0.1635
average,correlation,maxclust,14,0.1609
average,correlation,maxclust,15,0.1609
average,correlation,maxclust,16,0.1665
average,correlation,maxclust,17,0.1695
average,correlation,maxclust,18,0.165
average,correlation,maxclust,19,0.1676
average,correlation,maxclust,20,0.1673
average,correlation,maxclust,21,0.1637
average,correlation,maxclust,22,0.1634
average,correlation,maxclust,23,0.1627
average,correlation,maxclust,24,0.1602
average,correlation,maxclust,25,0.1594
complete,euclidean,maxclust,2,0.0599
complete,euclidean,maxclust,3,0.0576
complete,euclidean,maxclust,4,0.0592
complete,euclidean,maxclust,5,0.0523
complete,euclidean,maxclust,6,0.0499
complete,euclidean,maxclust,7,0.0407
complete,euclidean,maxclust,8,0.0354
complete,euclidean,maxclust,9,0.0502
complete,euclidean,maxclust,10,0.0412
complete,euclidean,maxclust,11,0.0466
complete,euclidean,maxclust,12,0.0501
complete,euclidean,maxclust,13,0.0535
complete,euclidean,maxclust,14,0.0594
complete,euclidean,maxclust,15,0.0555
complete,euclidean,maxclust,16,0.0572
complete,euclidean,maxclust,17,0.0531
complete,euclidean,maxclust,18,0.0543
complete,euclidean,maxclust,19,0.0646
complete,euclidean,maxclust,20,0.074
complete,euclidean,maxclust,21,0.0725
complete,euclidean,maxclust,22,0.0715
complete,euclidean,maxclust,23,0.0691
complete,euclidean,maxclust,24,0.0725
complete,euclidean,maxclust,25,0.0741
complete,euclidean,distance,5.0,0.2301
complete,euclidean,distance,10.0,0.1268
complete,euclidean,distance,15.0,0.0823
complete,euclidean,distance,20.0,0.0913
complete,cityblock,maxclust,2,0.0715
complete,cityblock,maxclust,3,0.0646
complete,cityblock,maxclust,4,0.0575
complete,cityblock,maxclust,5,0.0393
complete,cityblock,maxclust,6,0.0473
complete,cityblock,maxclust,7,0.0511
complete,cityblock,maxclust,8,0.0448
complete,cityblock,maxclust,9,0.0437
complete,cityblock,maxclust,10,0.052
complete,cityblock,maxclust,11,0.0489
complete,cityblock,maxclust,12,0.0519
complete,cityblock,maxclust,13,0.0655
complete,cityblock,maxclust,14,0.0673
complete,cityblock,maxclust,15,0.0689
complete,cityblock,maxclust,16,0.0693
complete,cityblock,maxclust,17,0.0705
complete,cityblock,maxclust,18,0.0715
complete,cityblock,maxclust,19,0.071
complete,cityblock,maxclust,20,0.0697
complete,cityblock,maxclust,21,0.0702
complete,cityblock,maxclust,22,0.069
complete,cityblock,maxclust,23,0.0682
complete,cityblock,maxclust,24,0.0679
complete,cityblock,maxclust,25,0.0703
complete,cityblock,distance,5.0,0.0092
complete,cityblock,distance,10.0,0.0718
complete,cityblock,distance,15.0,0.0971
complete,cityblock,distance,20.0,0.108
complete,cosine,maxclust,2,0.0599
complete,cosine,maxclust,3,0.0576
complete,cosine,maxclust,4,0.0592
complete,cosine,maxclust,5,0.0523
complete,cosine,maxclust,6,0.0499
complete,cosine,maxclust,7,0.0407
complete,cosine,maxclust,8,0.0354
complete,cosine,maxclust,9,0.0502
complete,cosine,maxclust,10,0.0412
complete,cosine,maxclust,11,0.0466
complete,cosine,maxclust,12,0.0501
complete,cosine,maxclust,13,0.0535
complete,cosine,maxclust,14,0.0594
complete,cosine,maxclust,15,0.0555
complete,cosine,maxclust,16,0.0572
complete,cosine,maxclust,17,0.0531
complete,cosine,maxclust,18,0.0543
complete,cosine,maxclust,19,0.0646
complete,cosine,maxclust,20,0.074
complete,cosine,maxclust,21,0.0725
complete,cosine,maxclust,22,0.0715
complete,cosine,maxclust,23,0.0691
complete,cosine,maxclust,24,0.0725
complete,cosine,maxclust,25,0.0741
complete,correlation,maxclust,2,0.0599
complete,correlation,maxclust,3,0.0576
complete,correlation,maxclust,4,0.0592
complete,correlation,maxclust,5,0.0523
complete,correlation,maxclust,6,0.0499
complete,correlation,maxclust,7,0.0407
complete,correlation,maxclust,8,0.0354
complete,correlation,maxclust,9,0.0502
complete,correlation,maxclust,10,0.0412
complete,correlation,maxclust,11,0.0466
complete,correlation,maxclust,12,0.0501
complete,correlation,maxclust,13,0.0535
complete,correlation,maxclust,14,0.0594
complete,correlation,maxclust,15,0.0555
complete,correlation,maxclust,16,0.0572
complete,correlation,maxclust,17,0.0531
complete,correlation,maxclust,18,0.0543
complete,correlation,maxclust,19,0.0646
complete,correlation,maxclust,20,0.074
complete,correlation,maxclust,21,0.0725
complete,correlation,maxclust,22,0.0715
complete,correlation,maxclust,23,0.0691
complete,correlation,maxclust,24,0.0725
complete,correlation,maxclust,25,0.0741
