linkage,metric,criterion,param,silhouette_score
ward,euclidean,maxclust,2,0.168
ward,euclidean,maxclust,3,0.1878
ward,euclidean,maxclust,4,0.1992
ward,euclidean,maxclust,5,0.2232
ward,euclidean,maxclust,6,0.2305
ward,euclidean,maxclust,7,0.2349
ward,euclidean,maxclust,8,0.2577
ward,euclidean,maxclust,9,0.2757
ward,euclidean,maxclust,10,0.2687
ward,euclidean,maxclust,11,0.2644
ward,euclidean,maxclust,12,0.2646
ward,euclidean,maxclust,13,0.2575
ward,euclidean,maxclust,14,0.2535
ward,euclidean,maxclust,15,0.2507
ward,euclidean,maxclust,16,0.249
ward,euclidean,maxclust,17,0.2368
ward,euclidean,maxclust,18,0.2264
ward,euclidean,maxclust,19,0.229
ward,euclidean,maxclust,20,0.2207
ward,euclidean,maxclust,21,0.2258
ward,euclidean,maxclust,22,0.2261
ward,euclidean,maxclust,23,0.2287
ward,euclidean,maxclust,24,0.2238
ward,euclidean,maxclust,25,0.2166
ward,euclidean,distance,5.0,0.1685
ward,euclidean,distance,10.0,0.1186
ward,euclidean,distance,15.0,0.1018
ward,euclidean,distance,20.0,0.101
average,euclidean,maxclust,2,0.1833
average,euclidean,maxclust,3,0.1693
average,euclidean,maxclust,4,0.1854
average,euclidean,maxclust,5,0.2041
average,euclidean,maxclust,6,0.2382
average,euclidean,maxclust,7,0.2333
average,euclidean,maxclust,8,0.2702
average,euclidean,maxclust,9,0.2668
average,euclidean,maxclust,10,0.2602
average,euclidean,maxclust,11,0.2563
average,euclidean,maxclust,12,0.2559
average,euclidean,maxclust,13,0.2512
average,euclidean,maxclust,14,0.2587
average,euclidean,maxclust,15,0.2508
average,euclidean,maxclust,16,0.2503
average,euclidean,maxclust,17,0.2485
average,euclidean,maxclust,18,0.252
average,euclidean,maxclust,19,0.259
average,euclidean,maxclust,20,0.2589
average,euclidean,maxclust,21,0.2561
average,euclidean,maxclust,22,0.2693
average,euclidean,maxclust,23,0.2648
average,euclidean,maxclust,24,0.2613
average,euclidean,maxclust,25,0.2639
average,euclidean,distance,5.0,0.1191
average,euclidean,distance,10.0,0.2686
average,euclidean,distance,15.0,0.2668
average,cityblock,maxclust,2,0.1811
average,cityblock,maxclust,3,0.1842
average,cityblock,maxclust,4,0.1851
average,cityblock,maxclust,5,0.2287
average,cityblock,maxclust,6,0.2692
average,cityblock,maxclust,7,0.2577
average,cityblock,maxclust,8,0.2584
average,cityblock,maxclust,9,0.266
average,cityblock,maxclust,10,0.2631
average,cityblock,maxclust,11,0.2579
average,cityblock,maxclust,12,0.2477
average,cityblock,maxclust,13,0.244
average,cityblock,maxclust,14,0.2453
average,cityblock,maxclust,15,0.2652
average,cityblock,maxclust,16,0.2579
average,cityblock,maxclust,17,0.2629
average,cityblock,maxclust,18,0.262
average,cityblock,maxclust,19,0.2612
average,cityblock,maxclust,20,0.2592
average,cityblock,maxclust,21,0.2697
average,cityblock,maxclust,22,0.2716
average,cityblock,maxclust,23,0.2703
average,cityblock,maxclust,24,0.2686
average,cityblock,maxclust,25,0.2672
average,cityblock,distance,5.0,0.0105
average,cityblock,distance,10.0,0.0812
average,cityblock,distance,15.0,0.1176
average,cityblock,distance,20.0,0.1856
