linkage,metric,criterion,param,silhouette_score
ward,euclidean,maxclust,2,0.3382
ward,euclidean,maxclust,3,0.2949
ward,euclidean,maxclust,4,0.285
ward,euclidean,maxclust,5,0.2268
ward,euclidean,maxclust,6,0.2332
ward,euclidean,maxclust,7,0.2036
ward,euclidean,maxclust,8,0.196
ward,euclidean,maxclust,9,0.1403
ward,euclidean,maxclust,10,0.1071
ward,euclidean,maxclust,11,0.1151
ward,euclidean,maxclust,12,0.1127
ward,euclidean,maxclust,13,0.1081
ward,euclidean,maxclust,14,0.1137
ward,euclidean,maxclust,15,0.1172
ward,euclidean,maxclust,16,0.1213
ward,euclidean,maxclust,17,0.1177
ward,euclidean,maxclust,18,0.1188
ward,euclidean,maxclust,19,0.1138
ward,euclidean,maxclust,20,0.1167
ward,euclidean,maxclust,21,0.12
ward,euclidean,maxclust,22,0.1199
ward,euclidean,maxclust,23,0.1133
ward,euclidean,maxclust,24,0.097
ward,euclidean,maxclust,25,0.0968
ward,euclidean,distance,5.0,0.2781
ward,euclidean,distance,10.0,0.2278
ward,euclidean,distance,15.0,0.1867
ward,euclidean,distance,20.0,0.1534
average,euclidean,maxclust,2,0.3867
average,euclidean,maxclust,3,0.2865
average,euclidean,maxclust,4,0.2683
average,euclidean,maxclust,5,0.2542
average,euclidean,maxclust,6,0.244
average,euclidean,maxclust,7,0.2344
average,euclidean,maxclust,8,0.2174
average,euclidean,maxclust,9,0.2165
average,euclidean,maxclust,10,0.2095
average,euclidean,maxclust,11,0.2054
average,euclidean,maxclust,12,0.1902
average,euclidean,maxclust,13,0.1809
average,euclidean,maxclust,14,0.1782
average,euclidean,maxclust,15,0.1741
average,euclidean,maxclust,16,0.172
average,euclidean,maxclust,17,0.1703
average,euclidean,maxclust,18,0.1669
average,euclidean,maxclust,19,0.1845
average,euclidean,maxclust,20,0.1829
average,euclidean,maxclust,21,0.1815
average,euclidean,maxclust,22,0.1812
average,euclidean,maxclust,23,0.2074
average,euclidean,maxclust,24,0.2069
average,euclidean,maxclust,25,0.2063
average,euclidean,distance,5.0,0.1925
average,euclidean,distance,10.0,0.1488
average,euclidean,distance,15.0,0.2095
average,euclidean,distance,20.0,0.3867
average,cityblock,maxclust,2,0.3875
average,cityblock,maxclust,3,0.2821
average,cityblock,maxclust,4,0.2521
average,cityblock,maxclust,5,0.2706
average,cityblock,maxclust,6,0.2663
average,cityblock,maxclust,7,0.2634
average,cityblock,maxclust,8,0.2424
average,cityblock,maxclust,9,0.2466
average,cityblock,maxclust,10,0.2404
average,cityblock,maxclust,11,0.2243
average,cityblock,maxclust,12,0.2217
average,cityblock,maxclust,13,0.2208
average,cityblock,maxclust,14,0.2169
average,cityblock,maxclust,15,0.2127
average,cityblock,maxclust,16,0.2055
average,cityblock,maxclust,17,0.2152
average,cityblock,maxclust,18,0.2131
average,cityblock,maxclust,19,0.2064
average,cityblock,maxclust,20,0.2012
average,cityblock,maxclust,21,0.2009
average,cityblock,maxclust,22,0.2003
average,cityblock,maxclust,23,0.1967
average,cityblock,maxclust,24,0.191
average,cityblock,maxclust,25,0.189
average,cityblock,distance,5.0,0.1326
average,cityblock,distance,10.0,0.252
average,cityblock,distance,15.0,0.2688
average,cityblock,distance,20.0,0.2574
complete,euclidean,maxclust,2,0.3765
complete,euclidean,maxclust,3,0.2689
complete,euclidean,maxclust,4,0.2586
complete,euclidean,maxclust,5,0.2237
complete,euclidean,maxclust,6,0.1911
complete,euclidean,maxclust,7,0.1782
complete,euclidean,maxclust,8,0.139
complete,euclidean,maxclust,9,0.1388
complete,euclidean,maxclust,10,0.1455
complete,euclidean,maxclust,11,0.1487
complete,euclidean,maxclust,12,0.1231
complete,euclidean,maxclust,13,0.1223
complete,euclidean,maxclust,14,0.1233
complete,euclidean,maxclust,15,0.1268
complete,euclidean,maxclust,16,0.1252
complete,euclidean,maxclust,17,0.1296
complete,euclidean,maxclust,18,0.1267
complete,euclidean,maxclust,19,0.1281
complete,euclidean,maxclust,20,0.1281
complete,euclidean,maxclust,21,0.1265
complete,euclidean,maxclust,22,0.1012
complete,euclidean,maxclust,23,0.1025
complete,euclidean,maxclust,24,0.1062
complete,euclidean,maxclust,25,0.1063
complete,euclidean,distance,5.0,0.2133
complete,euclidean,distance,10.0,0.1142
complete,euclidean,distance,15.0,0.0817
complete,euclidean,distance,20.0,0.1281
complete,cityblock,maxclust,2,0.2259
complete,cityblock,maxclust,3,0.2394
complete,cityblock,maxclust,4,0.1524
complete,cityblock,maxclust,5,0.1404
complete,cityblock,maxclust,6,0.1479
complete,cityblock,maxclust,7,0.1061
complete,cityblock,maxclust,8,0.1069
complete,cityblock,maxclust,9,0.0994
complete,cityblock,maxclust,10,0.0976
complete,cityblock,maxclust,11,0.0979
complete,cityblock,maxclust,12,0.0976
complete,cityblock,maxclust,13,0.0983
complete,cityblock,maxclust,14,0.0936
complete,cityblock,maxclust,15,0.0927
complete,cityblock,maxclust,16,0.0931
complete,cityblock,maxclust,17,0.1009
complete,cityblock,maxclust,18,0.1036
complete,cityblock,maxclust,19,0.1063
complete,cityblock,maxclust,20,0.1051
complete,cityblock,maxclust,21,0.1034
complete,cityblock,maxclust,22,0.1012
complete,cityblock,maxclust,23,0.0942
complete,cityblock,maxclust,24,0.0922
complete,cityblock,maxclust,25,0.0909
complete,cityblock,distance,5.0,0.1448
complete,cityblock,distance,10.0,0.2599
complete,cityblock,distance,15.0,0.2679
complete,cityblock,distance,20.0,0.2693
