linkage,metric,criterion,param,silhouette_score
ward,euclidean,maxclust,2,0.0104
ward,euclidean,maxclust,3,-0.0079
ward,euclidean,maxclust,4,-0.0143
ward,euclidean,maxclust,5,-0.0212
ward,euclidean,maxclust,6,-0.0276
ward,euclidean,maxclust,7,-0.0267
ward,euclidean,maxclust,8,-0.0255
ward,euclidean,maxclust,9,-0.0243
ward,euclidean,maxclust,10,-0.0286
ward,euclidean,maxclust,11,-0.0275
ward,euclidean,maxclust,12,-0.0267
ward,euclidean,maxclust,13,-0.0257
ward,euclidean,maxclust,14,-0.0252
ward,euclidean,maxclust,15,-0.0246
ward,euclidean,maxclust,16,-0.0283
ward,euclidean,maxclust,17,-0.0275
ward,euclidean,maxclust,18,-0.0266
ward,euclidean,maxclust,19,-0.0259
ward,euclidean,maxclust,20,-0.0252
ward,euclidean,maxclust,21,-0.0244
ward,euclidean,maxclust,22,-0.0237
ward,euclidean,maxclust,23,-0.0231
ward,euclidean,maxclust,24,-0.0224
ward,euclidean,maxclust,25,-0.0234
ward,euclidean,distance,5.0,0.0062
ward,euclidean,distance,10.0,0.0236
ward,euclidean,distance,15.0,0.0548
ward,euclidean,distance,20.0,0.0139
average,euclidean,maxclust,2,0.0043
average,euclidean,maxclust,3,0.0023
average,euclidean,maxclust,4,0.0019
average,euclidean,maxclust,5,0.002
average,euclidean,maxclust,6,0.0017
average,euclidean,maxclust,7,0.0014
average,euclidean,maxclust,8,0.0013
average,euclidean,maxclust,9,0.0013
average,euclidean,maxclust,10,0.0009
average,euclidean,maxclust,11,0.0007
average,euclidean,maxclust,12,0.0006
average,euclidean,maxclust,13,0.0006
average,euclidean,maxclust,14,0.0006
average,euclidean,maxclust,15,0.0006
average,euclidean,maxclust,16,0.0006
average,euclidean,maxclust,17,0.0005
average,euclidean,maxclust,18,0.0011
average,euclidean,maxclust,19,0.001
average,euclidean,maxclust,20,0.0009
average,euclidean,maxclust,21,0.0009
average,euclidean,maxclust,22,0.0008
average,euclidean,maxclust,23,0.0007
average,euclidean,maxclust,24,0.0006
average,euclidean,maxclust,25,0.0007
average,euclidean,distance,5.0,0.0061
average,euclidean,distance,10.0,0.0305
average,euclidean,distance,15.0,0.0422
average,cosine,maxclust,2,0.0044
average,cosine,maxclust,3,0.0024
average,cosine,maxclust,4,0.0017
average,cosine,maxclust,5,0.0015
average,cosine,maxclust,6,0.001
average,cosine,maxclust,7,0.0015
average,cosine,maxclust,8,0.0015
average,cosine,maxclust,9,0.0012
average,cosine,maxclust,10,0.0012
average,cosine,maxclust,11,0.0019
average,cosine,maxclust,12,0.0019
average,cosine,maxclust,13,0.0018
average,cosine,maxclust,14,0.0016
average,cosine,maxclust,15,0.002
average,cosine,maxclust,16,0.0019
average,cosine,maxclust,17,0.0018
average,cosine,maxclust,18,0.0023
average,cosine,maxclust,19,0.0021
average,cosine,maxclust,20,0.002
average,cosine,maxclust,21,0.002
average,cosine,maxclust,22,0.002
average,cosine,maxclust,23,0.0023
average,cosine,maxclust,24,0.0022
average,cosine,maxclust,25,0.002
average,correlation,maxclust,2,0.0044
average,correlation,maxclust,3,0.0024
average,correlation,maxclust,4,0.0017
average,correlation,maxclust,5,0.0015
average,correlation,maxclust,6,0.001
average,correlation,maxclust,7,0.0015
average,correlation,maxclust,8,0.0015
average,correlation,maxclust,9,0.0012
average,correlation,maxclust,10,0.0012
average,correlation,maxclust,11,0.0019
average,correlation,maxclust,12,0.0019
average,correlation,maxclust,13,0.0018
average,correlation,maxclust,14,0.0016
average,correlation,maxclust,15,0.002
average,correlation,maxclust,16,0.0019
average,correlation,maxclust,17,0.0018
